x-axis,termlength,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Today
1,0.0833333333333,7.74648000145,5.53960000896,3.51434264145,3.06600000191,4.37248994931,5.66035999489,5.14559523265,5.20143998146,4.9069600029,4.77721114938,5.9999203093,2.47038834766,1.6298000083,1.01927999711,1.26979999876,2.99959999037,4.7523199873,4.40880477191,1.29314740691,0.0963600002676,0.114541832773,0.0396,0.07076,0.04628,0.0282,0.036015936255,0.25452,0.847609561753,1.54556603774,1.82
2,0.25,7.74648000145,5.53960000896,3.51434264145,3.06600000191,4.37248994931,5.66035999489,5.14559523265,5.20143998146,4.9069600029,4.77721114938,5.9999203093,3.47866936845,1.63532000637,1.02803999448,1.39872000504,3.21612000656,4.85156001282,4.48095617066,1.4137500011,0.150920000553,0.138446214843,0.05284,0.0876,0.05708,0.03272,0.0525099601594,0.31936,0.945179282869,1.69537735849,1.94
3,0.5,7.85300000381,5.68924000168,3.66334662019,3.21911999416,4.82650603539,5.81756001091,5.29063493486,5.39016002846,5.02016000652,4.94581674105,6.17398407545,3.45306451234,1.71647999287,1.07515999508,1.61371999574,3.50208001995,4.99507999802,4.61557769015,1.6600796759,0.282720000148,0.196772908428,0.09572,0.13384,0.08832,0.0646,0.165498007968,0.46304,1.0661752988,1.8829245283,2.13
4,1.0,7.88723999405,5.86088000679,3.88908365998,3.4344399929,5.31746987837,5.94212000465,5.51591269743,5.63151999474,5.05251998043,5.08310756265,6.11294820299,3.48999999656,2.00187999344,1.24140000105,1.88767999554,3.62096000099,4.9362400074,4.53123505277,1.82681274224,0.473519999385,0.317649402704,0.18088,0.17484,0.13116,0.12112,0.322709163347,0.61432,1.1980876494,2.05962264151,2.32
5,2.0,8.16159999847,6.48783999634,4.76988048098,4.04579999256,5.94297189598,6.151439991,5.8449603111,5.99087999535,5.13052000332,5.43430277076,6.26091633945,3.83088709174,2.63776000214,1.65060000277,2.38147999287,3.85455999374,4.81847998047,4.36482070927,2.01131474331,0.958479999781,0.703346613038,0.44936,0.27616,0.30708,0.46208,0.686772908367,0.8342,1.39362549801,2.28405660377,2.49
6,3.0,8.25763997269,6.81695999145,5.30482072754,4.43959998322,6.27044177726,6.25472000504,5.99480157807,6.10295999146,5.13791999245,5.49294820535,6.22059760151,4.08927421993,3.09991999722,2.10463999796,2.77947999811,3.92780002117,4.77299998856,4.34693228201,2.24278884034,1.43064000034,1.10729083336,0.74676,0.38228,0.54284,0.89796,1.02454183267,1.004,1.57091633466,2.42820754717,2.62
7,5.0,8.37328001404,7.37459999466,6.18617530458,5.1420399971,6.688273089,6.38331998634,6.18210317029,6.22468000221,5.1523199873,5.55003985181,6.15776892202,4.55669354527,3.81571999359,2.96615999699,3.42596000671,4.04636001968,4.74876000404,4.43159363184,2.80354581411,2.1977999959,1.93015935791,1.51824,0.76172,1.17208,1.6416,1.53103585657,1.33472,1.90203187251,2.63075471698,2.76
8,7.0,8.5188399868,7.67908000183,6.63063745195,5.53872000694,6.90771084713,6.49644000816,6.34376983983,6.32692000198,5.2786400032,5.7862549645,6.20051792228,4.88165322523,4.30460000515,3.5230400095,3.86608000851,4.15184000874,4.75820000458,4.50956175717,3.17159362808,2.81511999464,2.61852589499,2.15684,1.22044,1.73752,2.14404,1.89119521912,1.63432,2.1503187251,2.76528301887,2.87
9,10.0,8.55239998054,7.86236001778,7.00884461308,5.86628000259,7.08518073453,6.57392000771,6.4435317592,6.35396000481,5.26287999535,5.64613544419,6.03027888218,5.0206854728,4.61307999802,4.01388001251,4.27131999874,4.28887999916,4.79500000763,4.63466136484,3.66426295113,3.2641200037,3.21505976293,2.78164,1.80344,2.35016,2.53956,2.13828685259,1.83744,2.32019920319,2.82886792453,2.92
10,20.0,8.58119999218,8.00076001072,7.33741036544,6.28596774224,7.49008032979,6.95463999557,6.82611110665,6.68683999062,5.71595999527,6.19780877862,6.23091633291,5.63217741828,5.43159999466,4.95747998428,5.04435997391,4.64415999603,4.9972800045,4.90956175565,4.35976095978,4.11308000183,4.02948207589,3.61756,2.5418,3.11828,3.07264,2.54752988048,2.2186,2.64139442231,2.94745283019,2.99
11,30.0,8.61000000381,8.13916000366,7.66597611781,6.59152000236,7.37269077722,6.88016001129,6.70630953236,6.60675999832,5.57679999351,5.87223110731,5.94063742892,5.49483871845,5.42999997735,4.95747998428,5.04435997391,4.64415999603,4.91303570569,4.83828682918,4.27752990077,4.07668000889,4.25107570378,3.9108,2.92168,3.44616,3.33816,2.84099601594,2.5944,2.88250996016,3.06009433962,3.07
